Source,Target,Type,Distance,Voltage,Lines
66,72,Undirected,107223.295796,110,2
66,74,Undirected,114703.990852,110,2
66,83,Undirected,198.324692308,220,2
67,68,Undirected,3.74,110,2
67,83,Undirected,71.5583542352,220,2
68,69,Undirected,10.68,110,1
68,200,Undirected,8318.29947543,110,2
68,79,Undirected,3314.91147163,110,2
68,77,Undirected,2505.63614265,110,2
68,206,Undirected,174893.402757,110,2
68,81,Undirected,40896.3748583,110,2
69,70,Undirected,0.1,110,2
69,71,Undirected,0.1,110,2
69,72,Undirected,48934.1215716,110,2
69,74,Undirected,52348.1300533,110,2
72,73,Undirected,7.73,110,2
72,74,Undirected,212801.74717,110,2
73,203,Undirected,11.2,110,2
74,202,Undirected,8128.95823056,110,2
74,75,Undirected,38.039111982,110,2
74,76,Undirected,38.039111982,110,2
75,202,Undirected,43.0103610083,110,2
75,76,Undirected,0.201265142762,110,2
76,202,Undirected,43.0103610083,110,2
77,206,Undirected,1033.03840967,110,2
77,200,Undirected,49.1334877462,110,2
77,79,Undirected,19.5801031992,110,2
77,78,Undirected,0.1,66,1
77,81,Undirected,241.561576245,110,2
79,200,Undirected,65.0027190295,110,2
79,206,Undirected,1366.69120331,110,2
79,80,Undirected,1.8,110,1
79,81,Undirected,319.581613056,110,2
81,200,Undirected,801.944663378,110,2
81,206,Undirected,16860.9980219,110,2
81,82,Undirected,0.1,66,1
83,206,Undirected,17.05,110,2
84,194,Undirected,32.74,110,1
84,89,Undirected,93583699.8773,220,2
84,97,Undirected,55345198.8522,220,2
84,98,Undirected,335425.447589,220,2
84,99,Undirected,9062088.20382,220,2
84,100,Undirected,19429117109,220,2
85,104,Undirected,652036593205000,220,1
85,105,Undirected,3.48984981696E+016,154,2
85,87,Undirected,62425638575700,220,1
85,106,Undirected,2645899156130000,154,2
85,198,Undirected,7.68926027585E+016,220,1
85,108,Undirected,3.55371628038E+016,154,2
85,90,Undirected,2.58005643045E+027,154,2
85,92,Undirected,6.40402286658E+029,154,2
85,93,Undirected,23.7502073255,66,1
85,86,Undirected,474010523.891,220,1
85,102,Undirected,7.36409189044E+024,154,2
85,103,Undirected,1.0015164971E+027,154,2
86,87,Undirected,4.78884124042E+019,220,1
86,198,Undirected,5.89864157699E+022,220,1
86,104,Undirected,5.00195079945E+020,220,1
87,198,Undirected,7.76831839407E+027,220,1
87,104,Undirected,6.58740591278E+025,220,1
88,100,Undirected,0.17,220,1
88,108,Undirected,67.75,220,2
88,116,Undirected,206.36,500,2
88,117,Undirected,7463.68881487,220,2
88,118,Undirected,7370.22580645,220,2
88,119,Undirected,11423.85,220,2
88,126,Undirected,37.22,66,1
89,100,Undirected,10231503.8621,220,2
89,96,Undirected,0.1,110,4
89,97,Undirected,29145.1542871,220,2
89,98,Undirected,176.63729871,220,2
89,99,Undirected,4772.15665209,220,2
89,101,Undirected,2.4,154,1
90,104,Undirected,2.91286065962E+021,154,2
90,105,Undirected,42903003339700,154,2
90,106,Undirected,3252776660480,154,2
90,108,Undirected,43688155491600,154,2
90,91,Undirected,12.8,66,1
90,92,Undirected,7.87288361514E+026,154,2
90,102,Undirected,9.05315917705E+021,154,2
90,103,Undirected,1.23122964808E+024,154,2
92,104,Undirected,7.2300846025E+023,154,2
92,105,Undirected,1.06490622139E+016,154,2
92,106,Undirected,807379864555000,154,2
92,108,Undirected,1.08439468015E+016,154,2
92,95,Undirected,9.73,66,1
92,101,Undirected,11.13,154,1
92,102,Undirected,2.24710737721E+024,154,2
92,103,Undirected,3.056066033E+026,154,2
93,94,Undirected,8.79,66,1
94,95,Undirected,2.23,66,1
97,98,Undirected,104.462918592,220,2
97,99,Undirected,2822.24318135,220,2
97,100,Undirected,6050889.38081,220,2
98,99,Undirected,17.1045041294,220,2
98,100,Undirected,36672.0568534,220,2
99,100,Undirected,990757.90525,220,2
100,120,Undirected,7.4,220,1
100,121,Undirected,3.6,66,1
102,104,Undirected,8.31399395313E+018,154,2
102,105,Undirected,122455328977,154,2
102,106,Undirected,9284194695.97,154,2
102,108,Undirected,124696339106,154,2
102,103,Undirected,3.51422091381E+021,154,2
103,104,Undirected,1.13070317763E+021,154,2
103,105,Undirected,16653924740900,154,2
103,106,Undirected,1262650478650,154,2
103,108,Undirected,16958702118400,154,2
104,106,Undirected,2987196508.67,154,2
104,198,Undirected,8.11401849652E+028,220,1
104,105,Undirected,39400092648.5,154,2
104,108,Undirected,40121139314.7,154,2
105,193,Undirected,22,154,2
105,106,Undirected,43.9978827564,154,2
105,108,Undirected,590.93708047,154,2
106,107,Undirected,0.23,66,1
106,108,Undirected,44.8030718956,154,2
